,Wind,Power
71505,4.482841236588387,13.512986217523745
26258,2.911746663734534,3.7029855612933873
64768,4.248914917996736,11.50602631943373
63955,4.2206854245998215,11.278210934161129
63781,4.214643688005648,11.229847353473414
1024,2.0355559670829524,1.2651452874859452
718,2.0249308441069918,1.2454372360353425
11786,2.4092408476949965,2.0976446203187673
67273,4.335895091378372,12.227215210636254
72339,4.511799905091494,13.776558838059433
9096,2.3158369888540378,1.8630101363523475
63995,4.222074329563999,11.289348593211336
11138,2.3867405872753156,2.039421129530854
28218,2.9798030069792474,3.968751632468363
83875,4.912360096760379,17.7812318109312
83125,4.886318128682045,17.49993659906542
21609,2.7503211842729662,3.120624407893588
5605,2.194620308105418,1.5855116593735143
39474,3.3706408638988874,5.744188775121917
26610,2.923969027419299,3.749812590980032
61309,4.128809361219458,10.55761331141778
17559,2.609694556649961,2.6660009397812945
61715,4.142906746605863,10.666126557855149
21231,2.737196032361486,3.076160310479034
24876,2.86375999722219,3.522906476013286
34904,3.2119584717415712,4.9705108215702385
64811,4.250407990833227,11.518160268849604
5880,2.2041690297341403,1.6062973646309586
57940,4.011828840611582,9.685419759316089
79064,4.745309552193891,16.02820555728249
38155,3.324841722705124,5.51320557174484
49225,3.709221171541337,7.654898719849495
38599,3.3402585678074974,5.590253716054124
85622,4.973020521070845,18.44811567396123
17233,2.598374981191912,2.6314597817448897
5879,2.204134307110036,1.6062214530558292
79013,4.743538698364564,16.010268043615586
81996,4.847116286068125,17.08211242321649
53320,3.851410317249042,8.569404188694925
74719,4.594439750460074,14.547519274991547
17924,2.622368314448084,2.7050314908652027
61901,4.14936515468929,10.716086872103807
34564,3.20015277954606,4.915904041760668
20737,2.7200430560538895,3.0186905479281854
63015,4.188046157941643,11.018580215822821
5565,2.19323140314124,1.582503305291646
55035,3.9109596175881665,8.973074098738472
50240,3.7444646350073496,7.875179448413329
30395,3.0553941596546257,4.278514335702641
19992,2.6941747010960775,2.933381307234628
43263,3.502204886630632,6.443412096061184
19230,2.66771606152849,2.8478038296511134
13323,2.4626095209435293,2.2401542405160138
40601,3.409773261264598,5.946586785577486
42633,3.4803296334448315,6.323425366955755
27584,2.957788863297029,3.881439017792074
